Source,Target,Weight,Type
Douglass_narrative,EK_adrift,9,undirected
Douglass_narrative,EK_ourVisit,26,undirected
Douglass_narrative,EK_suppressed,17,undirected
Douglass_narrative,freedman_body1,22,undirected
Douglass_narrative,freedman_body2,10,undirected
Douglass_narrative,freedman_intro1,5,undirected
Douglass_narrative,freedman_intro2,3,undirected
Douglass_narrative,TWH_denmark,28,undirected
Douglass_narrative,TWH_gabriel,6,undirected
Douglass_narrative,TWH_leaves,27,undirected
Douglass_narrative,TWH_natTurner,24,undirected
EK_adrift,Douglass_narrative,9,undirected
EK_adrift,EK_ourVisit,4,undirected
EK_adrift,freedman_body1,34,undirected
EK_adrift,freedman_body2,36,undirected
EK_ourVisit,Douglass_narrative,26,undirected
EK_ourVisit,EK_adrift,4,undirected
EK_ourVisit,EK_suppressed,42,undirected
EK_ourVisit,freedman_body1,8,undirected
EK_ourVisit,freedman_body2,3,undirected
EK_ourVisit,freedman_intro1,4,undirected
EK_ourVisit,TWH_leaves,57,undirected
EK_suppressed,Douglass_narrative,17,undirected
EK_suppressed,EK_ourVisit,42,undirected
EK_suppressed,freedman_body1,1,undirected
EK_suppressed,freedman_body2,4,undirected
EK_suppressed,TWH_gabriel,1,undirected
EK_suppressed,TWH_leaves,7,undirected
freedman_body1,Douglass_narrative,22,undirected
freedman_body1,EK_adrift,34,undirected
freedman_body1,EK_ourVisit,8,undirected
freedman_body1,EK_suppressed,1,undirected
freedman_body1,freedman_body2,60,undirected
freedman_body1,freedman_intro2,8,undirected
freedman_body1,TWH_denmark,1,undirected
freedman_body2,Douglass_narrative,10,undirected
freedman_body2,EK_adrift,36,undirected
freedman_body2,EK_ourVisit,3,undirected
freedman_body2,EK_suppressed,4,undirected
freedman_body2,freedman_body1,60,undirected
freedman_body2,freedman_intro2,5,undirected
freedman_body2,TWH_leaves,1,undirected
freedman_intro1,Douglass_narrative,5,undirected
freedman_intro1,EK_ourVisit,4,undirected
freedman_intro1,TWH_denmark,4,undirected
freedman_intro1,TWH_gabriel,6,undirected
freedman_intro1,TWH_leaves,25,undirected
freedman_intro1,TWH_natTurner,16,undirected
freedman_intro2,Douglass_narrative,3,undirected
freedman_intro2,freedman_body1,8,undirected
freedman_intro2,freedman_body2,5,undirected
freedman_intro2,TWH_denmark,17,undirected
freedman_intro2,TWH_natTurner,31,undirected
TWH_denmark,Douglass_narrative,28,undirected
TWH_denmark,freedman_body1,1,undirected
TWH_denmark,freedman_intro1,4,undirected
TWH_denmark,freedman_intro2,17,undirected
TWH_denmark,TWH_gabriel,53,undirected
TWH_denmark,TWH_natTurner,57,undirected
TWH_gabriel,Douglass_narrative,6,undirected
TWH_gabriel,EK_suppressed,1,undirected
TWH_gabriel,freedman_intro1,6,undirected
TWH_gabriel,TWH_denmark,53,undirected
TWH_gabriel,TWH_leaves,4,undirected
TWH_gabriel,TWH_natTurner,40,undirected
TWH_leaves,Douglass_narrative,27,undirected
TWH_leaves,EK_ourVisit,57,undirected
TWH_leaves,EK_suppressed,7,undirected
TWH_leaves,freedman_body2,1,undirected
TWH_leaves,freedman_intro1,25,undirected
TWH_leaves,TWH_gabriel,4,undirected
TWH_leaves,TWH_natTurner,14,undirected
TWH_natTurner,Douglass_narrative,24,undirected
TWH_natTurner,freedman_intro1,16,undirected
TWH_natTurner,freedman_intro2,31,undirected
TWH_natTurner,TWH_denmark,57,undirected
TWH_natTurner,TWH_gabriel,40,undirected
TWH_natTurner,TWH_leaves,14,undirected
